molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id
CHEMBL4453954,Cc1cc(C)c(S(=O)(=O)Nc2ccc(C3C4=C(CC(C)(C)CC4=O)N(c4ccc(Br)cc4)C4=C3C(=O)CC(C)(C)C4)cc2)c(C)c1,IC50,'=',140.0,nM,6.85,CHEMBL4326148
CHEMBL324975,COc1ccccc1CN1CCCCCCCCN(Cc2ccccc2OC)C(=O)CCCCCNCc2ccc(cc2)CNCCCCCC1=O,IC50,'=',1412.54,nM,5.85,CHEMBL638447
CHEMBL92460,c1ccc(CN2CCC(CCc3noc4ccccc34)CC2)cc1,IC50,'=',54.95,nM,7.26,CHEMBL641020
CHEMBL158174,Cc1ccccc1CN1CCC(C)CC1,IC50,'=',10.0,nM,8.0,CHEMBL643386
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,'=',230.0,nM,6.64,CHEMBL4268504
CHEMBL4283189,CCN(CC)CCOC(=O)/C=C/c1ccc2oc(C(=O)Nc3cccc(Cl)c3)cc(=O)c2c1,IC50,'=',4450.0,nM,5.35,CHEMBL4268504
CHEMBL4291046,CCN(CC)CCOC(=O)/C=C/c1ccc2oc(C(=O)Nc3ccc(Cl)cc3)cc(=O)c2c1,IC50,'=',860.0,nM,6.07,CHEMBL4268504
CHEMBL4293364,CCN(CC)CCOC(=O)/C=C/c1ccc2oc(C(=O)Nc3ccc(OC)cc3)cc(=O)c2c1,IC50,'=',1140.0,nM,5.94,CHEMBL4268504
CHEMBL4282037,CN(C)CCOC(=O)/C=C/c1ccc2oc(C(=O)Nc3ccc(Cl)cc3)cc(=O)c2c1,IC50,'=',1220.0,nM,5.91,CHEMBL4268504
CHEMBL4286799,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccccc2o1,IC50,'=',110.0,nM,6.96,CHEMBL4273241
CHEMBL3597059,COC(=O)C1=C(Nc2ccc(Cl)cc2)C[C@@H](c2ccc(F)cc2)N(c2ccc(Cl)cc2)[C@@H]1c1ccc(F)cc1,IC50,'=',709.58,nM,6.15,CHEMBL3599183
