canonical_smiles,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
CC[N+](C)(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1C)Cc1ccccc1C,11115691,693.1,8.3,40.6,0,2,27
Nc1c2c(nc3ccccc13)CCCC2,1935,198.26,2.7,38.9,1,2,0
C[C@H](CC(=O)C[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O)C(=O)O,23247894,512.6,2.3,123.0,1,7,6
CCCCOC(=O)CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O,57392136,500.7,5.3,80.7,1,5,8
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],12456,371.8,,40.8,0,5,2
CCc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.O=C(O)C(O)C(O)C(=O)O,44347214,515.6,,160.0,5,10,7
COc1cc2cc(C(=O)CCc3cc[n+](CC4CC4)cc3)sc2cc1OC.[Br-],44320183,462.4,,67.7,0,5,8
CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2NC=O,44417532,327.8,2.5,68.0,2,3,1
Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5353853,429.1,6.1,39.4,0,3,6
COc1ccc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc1OC,10255275,496.5,2.8,112.0,2,8,3
CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2NS(C)(=O)=O,44417548,377.9,2.3,93.5,2,5,2
COc1cc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc(OC)c1OC,114734,526.6,2.8,121.0,2,9,4
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1cccc(OC)c1)CCCC3,16098505,393.5,3.9,86.5,2,6,5
C#CCCOC[n+]1ccc(/C=N/O)cc1.[Cl-],135909812,240.68,,45.7,1,4,5
CN(C)Cc1ccc(CSCCN/C=C(/NCCSCc2ccc(CN(C)C)o2)[N+](=O)[O-])o1,44268378,497.7,2.7,153.0,2,10,16
CN(C)Cc1ccc(CSCCCCCCCCCSCc2ccc(CN(C)C)o2)o1,3071778,466.7,5.5,83.4,0,6,18
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,3152,379.5,4.3,38.8,0,4,6
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,3152,379.5,4.3,38.8,0,4,6
Nc1c2c(nc3cc(F)ccc13)CCCC2,10013554,216.25,2.8,38.9,1,3,0
O=[N+]([O-])c1ccc2c(NCc3ccccc3)c3c(nc2c1)CCCC3,10496874,333.4,4.7,70.7,1,4,3
CCCCCCCNc1c2c(nc3cc(F)ccc13)CCCC2,10425802,314.4,6.4,24.9,1,3,7
Nc1c2c(nc3cccc(Cl)c13)C1CCC2C1,44381982,244.72,3.1,38.9,1,2,0
CC1(C)CC(=O)C2=C(C1)Oc1nc3c(c(N)c1[C@H]2c1ccc(F)cc1)CCCC3,76307956,392.5,4.3,65.2,1,5,1
CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccnc1Cl)CCCC3,76315115,399.9,3.8,87.3,1,6,4
CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccc(OC)c(OC)c1)CCC3,76311573,410.5,3.3,92.9,1,7,6
CN1c2ccccc2C(N2CCOCC2)c2ccccc21,137649760,280.4,2.8,15.7,0,3,1
CN1c2ccccc2C(n2cnc([N+](=O)[O-])n2)c2ccccc21,137649250,307.31,3.2,79.8,0,5,1
NC12CC(C(F)(F)F)=CC(Cc3nc(O)ccc31)/C2=C\C(F)(F)F,44300875,350.26,1.0,55.1,2,8,0
c1ccc2c(CNc3ccnc(N4CCOCC4)n3)cccc2c1,46891118,320.4,3.3,50.3,1,5,4
